geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,7006.1042128788595,16262.813369601005,574.3486443430922,6789.453683854951,18,16,132,17,0.45,0.4,6.3020000000000245,19.781749999999626,3435.624368258534,0.196,0.294,0.00030350685119628906
2,2413.4994699718736,12550.618245598693,-317.5916123379149,3210.2069713113365,7,4,182,24,0.175,0.1,9.82400000000001,19.964999999999584,939.8436088450137,0.19208,0.28812,0.0003116130828857422
3,2251.1205895013554,13079.69695460259,-2270.7899704328865,4323.660208067528,13,5,115,15,0.325,0.125,4.114999999999991,5.1418000000000035,812.2615987411948,0.1882384,0.2823576,0.0001575946807861328
4,3374.6596931736117,14152.234513924952,-3918.1825474697707,6716.45954618246,17,11,97,13,0.425,0.275,3.8219999999999916,6.613545454545425,1214.9954028638085,0.184473632,0.27671044799999994,0.00026869773864746094
5,2339.9160972669256,13633.994512817746,-1679.636619032508,3731.094789796916,13,3,128,16,0.325,0.075,3.788999999999992,4.277999999999995,739.9782785040978,0.18078415936,0.27117623904,0.0001499652862548828
6,2886.740489330023,17363.705741669615,-2707.9667595659553,4457.910413255211,5,3,139,21,0.125,0.075,6.053000000000017,8.709666666666664,1475.2989383782842,0.1771684761728,0.26575271425919994,0.00014710426330566406
7,3187.354471902636,13179.557116797208,-6459.256094912993,5171.453158568565,27,9,99,8,0.675,0.225,3.733999999999993,9.434666666666567,1415.5805638548964,0.173625106649344,0.26043765997401597,0.0001590251922607422
8,2771.984831282693,14674.391018749175,-3319.0677481523007,5560.856933726329,14,7,87,11,0.35,0.175,4.260999999999994,8.144142857142835,1354.9770778531058,0.1701526045163571,0.25522890677453564,0.00015592575073242188
9,5350.451084993701,18043.57393563912,-1787.4818247202509,6461.564009955221,12,8,56,7,0.3,0.2,5.654000000000017,12.99049999999988,1880.864700824157,0.16674955242602996,0.25012432863904493,0.00017380714416503906
10,4660.451883876381,15214.141808992146,-1004.2270742132057,5218.716894877747,15,8,67,4,0.375,0.2,4.325999999999998,12.409874999999817,1956.5483676813294,0.16341456137750934,0.245121842066264,0.0001575946807861328
11,1797.1281713552391,12731.631925894293,-6532.22782296523,5790.1677135770105,16,8,23,2,0.4,0.2,3.1139999999999946,6.756874999999895,1091.77852745438,0.1601462701499592,0.24021940522493873,0.0001957416534423828
12,3159.0088516924066,11818.940284496137,-6585.87986089577,5563.7499193706635,23,12,52,5,0.575,0.3,2.477999999999997,6.953416666666635,1017.8463769077949,0.15694334474695998,0.23541501712043994,0.0001556873321533203
13,4320.574649735039,14692.055234755722,-6915.0609434793705,7165.958881802315,22,12,73,4,0.55,0.3,4.3109999999999955,6.403166666666663,1008.3931063563714,0.15380447785202078,0.23070671677803112,0.00017404556274414062
