geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,2061.1189690811766,2503.2910228662704,1678.1681638205084,275.55330298380363,0,0,53,0,0.0,0.0,0.0,0.0,0.0,0.1764,0.27440000000000003,0.000202178955078125
2,6212.729527715662,14971.153185868276,4441.384881540037,3198.898156136308,40,5,78,0,1.0,0.125,3.729999999999995,3.848799999999995,703.9599999999998,0.17287199999999997,0.268912,0.0001633167266845703
3,14943.358826985548,17571.03780721885,1481.9024353788016,4682.116286277703,35,35,115,3,0.875,0.875,4.844000000000002,6.240428571428582,978.6919191363569,0.16941456,0.26353376,0.00045609474182128906
4,12818.001626602068,13388.582977204605,4249.006756056191,1435.9499808038615,40,39,48,1,1.0,0.975,2.499999999999997,3.6633076923076637,666.9072557933129,0.16602626879999996,0.2582630848,0.0007750988006591797
5,10798.013638398526,14071.58610872299,1132.7770017011524,3875.92826284989,38,30,97,1,0.95,0.75,2.9539999999999966,8.884866666666557,587.1376879298108,0.162705743424,0.25309782310400003,0.00015544891357421875
6,13255.898464751974,15394.453679238348,4119.587206900757,3436.5235946029507,40,34,89,4,1.0,0.85,3.578999999999994,4.948147058823518,711.1099106300935,0.15945162855551998,0.24803586664192,0.0004379749298095703
7,6388.668521403164,17996.344245293883,477.9910374244145,3764.5769199267747,27,1,163,16,0.675,0.025,14.052999999999924,14.052999999999924,998.9251545571235,0.15626259598440959,0.2430751493090816,0.0001735687255859375
8,5677.4252867241785,13159.258586515156,797.3333089858646,3732.2003741709686,40,9,77,3,1.0,0.225,2.9349999999999947,4.447888888888883,533.4586592112163,0.15313734406472138,0.23821364632289996,0.00015664100646972656
9,7154.6304847777155,14557.220992399234,18.534118235454002,5137.948397236434,26,14,104,11,0.65,0.35,3.117999999999995,5.2339999999999405,685.6859282140379,0.15007459718342694,0.23344937339644195,0.0002129077911376953
10,11200.170601553393,16346.289929934168,1082.4438852666267,5559.262040660758,33,24,128,9,0.825,0.6,4.180999999999996,6.504458333333329,1136.5139991155354,0.1470731052397584,0.2287803859285131,0.00018262863159179688
11,6613.6189225324,13788.464385908652,243.7895558685542,4620.137806946598,28,13,171,18,0.7,0.325,3.2179999999999938,8.847692307692208,830.9119922455276,0.14413164313496324,0.22420477820994286,0.00028395652770996094
12,5822.144632629873,14827.039648444028,762.7287619446818,4491.960548661551,17,8,149,12,0.425,0.2,4.748000000000004,12.084124999999824,1108.7289912718045,0.14124901027226397,0.219720682645744,0.00015878677368164062
13,4879.589616516039,14824.80141965208,-907.7707668839673,5576.482658418232,13,10,72,3,0.325,0.25,4.118999999999992,6.056699999999984,785.547761332136,0.13842403006681867,0.21532626899282908,0.0001590251922607422
14,7440.071016021093,15961.409474039972,1055.7691279307319,5755.137925031875,21,14,129,14,0.525,0.35,4.261999999999995,11.966499999999835,897.020850608478,0.1356555494654823,0.2110197436129725,0.0001556873321533203
15,7447.119863574287,15956.782305694445,385.61736631354745,5030.603080525443,29,10,110,7,0.725,0.25,4.389999999999997,8.571999999999935,1570.767899402236,0.13294243847617268,0.20679934874071307,0.0001780986785888672
16,4356.057608445661,12019.641475434131,-1232.4435020442006,3821.834378537647,36,10,112,10,0.9,0.25,1.9949999999999988,11.44209999999984,480.1307908747491,0.1302835897066492,0.20266336176589878,0.0002124309539794922
17,7920.0009138156165,15732.124416892835,407.4625326559251,6511.1341161519895,21,17,148,17,0.525,0.425,4.093999999999995,5.631411764705888,880.3704170855841,0.12767791791251623,0.19861009453058082,0.0002570152282714844
18,9056.075653078293,15396.807280919946,-5460.6102980810065,7776.005899577295,26,26,85,5,0.65,0.65,3.6829999999999936,5.5631923076922725,764.4600942275636,0.12512435955426587,0.19463789263996917,0.0002543926239013672
19,11881.01265369867,15844.003793874344,-1551.9504960852823,5916.267503740367,33,30,102,4,0.825,0.75,4.1879999999999935,6.1295999999999795,800.9309209918623,0.12262187236318056,0.19074513478716978,0.00025534629821777344
20,8788.280390923439,14963.991086308342,657.7401680124924,5937.35131639455,23,22,108,7,0.575,0.55,3.5749999999999957,7.612590909090837,838.2295638303713,0.12016943491591696,0.1869302320914264,0.00015664100646972656
21,7803.929387266695,13731.132249201763,-4581.78982683137,6812.737166569234,28,24,125,10,0.7,0.6,3.5759999999999925,4.966124999999985,744.0076397592137,0.1177660462175986,0.18319162744959785,0.0002989768981933594
22,6237.37883419104,14391.602761798138,-9.180741791357052,4926.006191979132,27,11,172,21,0.675,0.275,3.7249999999999943,7.137272727272691,638.1059600008152,0.11541072529324664,0.1795277949006059,0.00014281272888183594
23,12728.270730855253,14810.549104848064,-330.51722510764745,4269.0832878151,37,35,45,0,0.925,0.875,3.531999999999995,4.370771428571426,821.650302296637,0.11310251078738172,0.1759372390025938,0.0004508495330810547
24,12398.900315865607,13184.803065748707,1188.3692885082855,1819.1183956601174,39,39,45,0,0.975,0.975,2.7859999999999965,3.6896153846153785,667.2739778164874,0.11084046057163409,0.17241849422254193,0.00025272369384765625
25,6131.082435105057,17890.693646079322,1453.9683599077523,4627.877967222868,18,4,162,17,0.45,0.1,5.481000000000013,7.300250000000028,1230.9976718944533,0.1086236513602014,0.16897012433809108,0.0002868175506591797
26,4158.6388610899385,16850.992263973225,800.1157002128591,3361.572735589549,10,1,109,5,0.25,0.025,7.064000000000031,7.064000000000031,1358.9535729746403,0.10645117833299736,0.16559072185132925,0.0001678466796875
27,7785.100963115643,16851.951258857713,976.1319350000189,4032.4210375518696,28,6,165,16,0.7,0.15,4.890000000000004,5.0476666666666725,959.5333333333325,0.1043221547663374,0.16227890741430265,0.00014781951904296875
28,13038.772368864482,17288.292360612133,1227.2244250691483,5551.374876711787,33,28,118,8,0.825,0.7,4.654000000000001,7.83624999999996,1096.660988005139,0.10223571167101066,0.1590333292660166,0.00021886825561523438
29,9422.933936495212,19160.6094586276,2540.434542783937,5844.169461469617,28,11,165,17,0.7,0.275,6.229000000000019,9.639363636363571,1229.5107926884268,0.10019099743759045,0.15585266268069628,0.00019788742065429688
30,8421.904994690512,12707.310066584678,-1400.3592134574858,5718.308927748741,27,27,51,6,0.675,0.675,2.506999999999996,3.53733333333333,647.2579805022862,0.09818717748883864,0.15273560942708234,0.00027441978454589844
31,9325.216222601728,13661.53607127695,-3480.3618813552034,6050.650155725873,29,28,48,1,0.725,0.7,3.2709999999999932,4.570214285714283,793.5234559244165,0.09622343393906187,0.1496808972385407,0.0003256797790527344
32,11986.943393930465,13905.528785875984,-1105.6358533754012,4271.811963000632,35,35,7,0,0.875,0.875,2.9429999999999965,3.8234857142857104,747.4691903397373,0.09429896526028061,0.14668727929376987,0.0003273487091064453
33,15321.314314604218,15802.653514723863,6653.404657806241,1466.7747394697483,40,39,23,0,1.0,0.975,3.709999999999995,4.604923076923053,792.5241969536687,0.09241298595507501,0.14375353370789448,0.00041794776916503906
34,10024.822702624695,16692.915420525285,2963.486828599477,3997.538480420292,36,15,152,11,0.9,0.375,4.386999999999996,16.00193333333301,891.426314823509,0.09056472623597352,0.1408784630337366,0.00023055076599121094
35,14492.030974460184,16632.494528884294,6534.1931806397915,3470.970430377837,40,33,88,5,1.0,0.825,4.362999999999998,8.029242424242357,888.9096315276533,0.08875343171125404,0.13806089377306185,0.0003161430358886719
36,7294.332331703519,15501.834284070515,1881.0064859450072,4140.833938902039,32,8,183,17,0.8,0.2,4.796000000000003,6.472000000000008,795.0544330850968,0.08697836307702896,0.1352996758976006,0.0002593994140625
37,11594.154922366279,15032.41784621228,535.5775255414651,4965.087627450909,35,31,160,9,0.875,0.775,3.692999999999993,6.268806451612851,895.7798728881537,0.08523879581548838,0.1325936823796486,0.0002751350402832031
38,9766.651316610592,12183.628408040693,-322.7312933863999,4073.0189116143056,34,33,127,4,0.85,0.825,2.6869999999999967,3.316696969696965,490.3645453162104,0.0835340198991786,0.1299418087320556,0.0002453327178955078
39,10901.741696934256,14388.532361994476,-224.9527049815231,5782.66336984025,31,31,91,6,0.775,0.775,3.3159999999999954,3.875193548387094,694.1055131861496,0.08186333950119504,0.1273429725574145,0.0003781318664550781
40,14300.510168249031,18738.787844159066,5059.709191212507,4605.185054986441,39,24,157,10,0.975,0.6,5.773000000000008,10.071374999999913,1094.9857315929555,0.08022607271117113,0.12479611310626622,0.000316619873046875
41,11543.119241723252,12543.576156925947,-359.8184925402278,2316.777151662988,39,38,51,1,0.975,0.95,2.559999999999996,3.26405263157894,618.2033833170449,0.0786215512569477,0.12230019084414089,0.0003426074981689453
42,9191.564375169428,14523.081585498112,1987.7333341303774,5571.920210674813,26,23,82,1,0.65,0.575,3.442999999999993,4.5984782608695625,844.7510078642509,0.07704912023180874,0.11985418702725806,0.00021791458129882812
43,12309.286586110033,13088.68734608655,2668.304372929939,2102.753659922876,40,38,20,0,1.0,0.95,2.6589999999999963,4.177368421052615,590.3157894736836,0.07550813782717257,0.11745710328671291,0.0004239082336425781
44,10499.821060437938,15141.664666691795,4883.515731886356,3872.4993480806475,39,21,121,8,0.975,0.525,3.930999999999993,11.011047619047522,749.2498711547902,0.07399797507062912,0.11510796122097865,0.00023484230041503906
45,13238.47925359231,14321.064540307823,5394.2076465449145,2209.230917182058,40,37,50,0,1.0,0.925,3.472999999999995,4.79016216216213,702.7459459459456,0.07251801556921654,0.11280580199655907,0.0004470348358154297
46,14491.474962828166,15713.035635950919,3555.605247979617,2935.5237022841243,38,37,35,1,0.95,0.925,4.1009999999999955,4.751675675675678,890.1763592563503,0.0710676552578322,0.11054968595662788,0.0003917217254638672
47,13650.501542500977,14680.720209707988,-90.32100505961404,3017.4663521320426,38,38,40,1,0.95,0.95,3.8059999999999965,5.255526315789451,817.6398608802368,0.06964630215267556,0.10833869223749533,0.0003230571746826172
48,14149.764786037229,14692.988089164777,1607.2456244134512,2028.2125849717459,39,39,52,0,0.975,0.975,3.377999999999993,3.8246666666666593,651.3743589743583,0.06825337610962204,0.10617191839274541,0.0004661083221435547
49,6511.420493553339,13790.231125112137,1108.996847528695,2934.8058549276993,37,7,117,3,0.925,0.175,4.237999999999993,19.09985714285678,708.1649090510533,0.0668883085874296,0.1040484800248905,0.0001506805419921875
50,15292.982904381275,16635.36437204977,-1222.6637421988419,3704.1320710217497,38,38,49,0,0.95,0.95,4.2469999999999954,4.706999999999996,816.1483981198024,0.065550542415681,0.1019675104243927,0.0003905296325683594
51,12815.733300216101,12983.857885365662,12355.27582443954,160.0697158502022,40,40,52,0,1.0,1.0,2.9839999999999964,3.238299999999996,572.004999999999,0.06423953156736739,0.09992816021590484,0.000286102294921875
52,13035.51350631806,13959.506333236097,717.6388041234038,2626.9672339710455,39,38,88,2,0.975,0.95,3.5169999999999946,3.8077105263157844,716.4157894736837,0.06295474093602003,0.09792959701158674,0.0005450248718261719
53,17091.753804299362,17467.680594786834,16244.407024027387,281.9622103655411,40,40,43,0,1.0,1.0,4.742,5.231750000000005,993.7650000000006,0.06169564611729964,0.095971005071355,0.00014352798461914062
54,14488.60595720256,14592.70439148851,14274.112758398553,76.2243087090308,40,40,0,0,1.0,1.0,3.373999999999993,3.5422999999999925,708.46,0.06046173319495365,0.09405158496992791,0.0003180503845214844
55,12428.336353650793,13302.804838399432,816.8910288101604,2658.437442093123,38,38,72,0,0.95,0.95,3.2699999999999934,3.4428157894736766,561.763157894736,0.05925249853105457,0.09217055327052934,0.0004279613494873047
56,6630.878156941704,12974.010355301649,1112.8005035336753,4020.279681635651,35,12,124,6,0.875,0.3,3.3769999999999953,3.9871666666666616,576.6308009406929,0.05806744856043348,0.09032714220511875,0.00014901161193847656
57,10984.426679931583,18651.724471831963,9434.840255740188,2900.908242672529,40,6,100,0,1.0,0.15,6.27400000000001,10.382999999999914,1047.7000000000014,0.0569060995892248,0.08852059936101637,0.00015211105346679688
58,11884.34837327828,13982.479788236935,4539.094489526099,3304.8277784644847,40,33,46,0,1.0,0.825,2.9879999999999955,7.574939393939307,529.0484848484837,0.05576797759744031,0.08675018737379606,0.00040912628173828125
59,11171.364822845639,15333.623228644781,7087.9537593303585,3255.6818571122335,40,24,81,0,1.0,0.6,4.003999999999994,16.875874999999656,691.7749999999997,0.054652618045491506,0.08501518362632013,0.00018286705017089844
60,13475.868747380999,13532.346769559797,13307.15216994471,41.52962765040274,40,40,40,0,1.0,1.0,3.3129999999999953,3.4174999999999955,613.094999999999,0.05355956568458167,0.08331487995379372,0.0002465248107910156
