geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,10068.909196681127,16799.55198628329,-814.767970628115,6831.589213824781,26,23,167,12,0.65,0.575,5.890000000000014,17.442956521738825,2490.22541706586,0.1568,0.245,0.001117706298828125
2,14223.459286954423,14347.958463068418,14104.955996735242,60.96177835926366,40,40,0,0,1.0,1.0,3.0219999999999976,3.452924999999997,690.5849999999994,0.153664,0.24009999999999998,0.00045871734619140625
3,9111.241075835254,14963.724093938152,-2056.2905847414854,6078.6273791211825,35,24,152,12,0.875,0.6,3.8289999999999926,8.322249999999952,668.1549089036425,0.15059071999999998,0.23529799999999998,0.000347137451171875
4,7622.304449375972,13290.39901471703,677.7153338014552,3926.943223527336,36,15,93,0,0.9,0.375,3.2389999999999954,13.27593333333311,614.1952153988444,0.14757890559999998,0.23059203999999997,0.0003364086151123047
5,14503.42011837468,14857.857703696412,13744.045546847366,252.73345581725926,40,40,33,0,1.0,1.0,3.312999999999995,3.842674999999994,724.9629639740125,0.144627327488,0.22598019919999998,0.00015997886657714844
6,8380.635363879088,16345.14257164413,1637.2592789289802,5073.2462964824535,26,12,120,8,0.65,0.3,4.002999999999993,4.787833333333329,750.1655592359849,0.14173478093824,0.22146059521599998,0.0002465248107910156
7,12075.449144248802,14665.543642391842,3175.7703469111375,3966.7950516934784,40,33,60,0,1.0,0.825,2.9629999999999965,7.827454545454479,617.8727272727268,0.1389000853194752,0.21703138331167998,0.0002989768981933594
8,5735.089929459778,13968.259055854858,-1891.614917086513,5905.962057184084,20,14,111,8,0.5,0.35,3.441999999999993,6.663285714285644,795.6015240417628,0.13612208361308567,0.21269075564544637,0.0001552104949951172
9,8971.649082108333,16808.770654996697,195.44558307322114,7055.711747876181,23,20,105,5,0.575,0.5,4.251999999999993,5.602400000000001,812.0073434303138,0.13339964194082396,0.20843694053253745,0.00023984909057617188
10,10228.107928684807,13700.195499482574,-2283.529117736518,5619.318647370791,30,30,32,2,0.75,0.75,2.7479999999999967,3.549566666666661,688.5314609124529,0.13073164910200746,0.20426820172188667,0.0002999305725097656
11,7042.485114711288,12787.874742524624,-128.49793325076413,4447.070919036306,37,17,137,11,0.925,0.425,3.114999999999995,7.081705882352845,522.6665652750962,0.12811701611996734,0.20018283768744896,0.00021076202392578125
12,13790.987572287486,14824.134768208623,5964.2793914927215,1884.166263924681,40,38,66,0,1.0,0.95,3.324999999999996,5.891105263157847,677.0365796809327,0.125554675797568,0.19617918093369996,0.0005176067352294922
