geracao,fit_medio,fit_melhor,fit_pior,fit_std,coletas,entregas,colisoes,mortos,taxa_coleta,taxa_entrega,melhor_tempo,tempo_medio_entrega,distancia_media_entrega,taxa_mutacao_atual,forca_mutacao_atual,tempo_real_geracao_seg
1,8861.482624521954,16937.845329962962,-488.0052527133705,7117.176831604385,28,18,76,3,0.7,0.45,5.216999999999997,6.545722222222226,1143.293793499096,0.1764,0.27440000000000003,0.0012161731719970703
2,11301.852167011606,11547.218156400528,11197.360329551853,70.26706423246368,40,40,0,0,1.0,1.0,1.7319999999999987,2.0633249999999976,412.6065420448598,0.17287199999999997,0.268912,0.0001659393310546875
3,9522.240634929249,16656.56185334643,613.4656689533285,5769.978407624252,31,18,118,7,0.775,0.45,4.438999999999995,9.111166666666547,1030.2990243697238,0.16941456,0.26353376,0.0002884864807128906
4,14094.782941991934,15471.086153004275,-1130.0660697193414,3662.1678829906227,38,37,0,0,0.95,0.925,3.3439999999999928,5.798594594594541,1042.2944882911256,0.16602626879999996,0.2582630848,0.0006034374237060547
5,12440.131797778837,14206.662000585824,459.49084623936193,4087.584920943227,39,35,0,0,0.975,0.875,2.7629999999999946,3.461571428571415,680.2194557176086,0.162705743424,0.25309782310400003,0.0005052089691162109
6,11405.668118134778,13344.895100448548,-225.37833226485333,4141.1969759068825,40,35,0,0,1.0,0.875,2.4679999999999964,4.42217142857139,807.0137034576977,0.15945162855551998,0.24803586664192,0.0006806850433349609
7,10917.945703743248,14928.994714896106,873.3426490817544,4811.311705047966,39,29,103,8,0.975,0.725,3.3339999999999934,7.944551724137821,799.5224776965782,0.15626259598440959,0.2430751493090816,0.00038695335388183594
8,4232.932082872625,14499.15630484703,-2004.221667680249,5087.15544682164,15,8,143,17,0.375,0.2,4.237999999999992,10.59287499999994,912.0919836626749,0.15313734406472138,0.23821364632289996,0.0001537799835205078
9,7866.40495668559,17804.755779539904,-1174.163408629775,6799.227166176233,23,13,74,8,0.575,0.325,4.7189999999999985,8.41276923076919,1093.6681793519112,0.15007459718342694,0.23344937339644195,0.00025844573974609375
10,11689.790006689258,17562.760044739247,3232.3742400381657,6186.805033583383,34,23,23,1,0.85,0.575,4.497999999999997,9.197217391304262,1462.2715645458359,0.1470731052397584,0.2287803859285131,0.0002353191375732422
11,12397.972337559535,14166.812654559559,-786.1323678068769,3558.8821292050143,36,36,40,0,0.9,0.9,2.8199999999999954,5.388361111111057,804.8558837440538,0.14413164313496324,0.22420477820994286,0.0003285408020019531
12,10828.168997645927,12483.97425132539,-661.2453808940745,3839.665220407605,40,35,0,0,1.0,0.875,2.083999999999998,2.3894857142857115,474.60779539931815,0.14124901027226397,0.219720682645744,0.0003387928009033203
13,7435.351847812172,14516.108161176671,55.53446865340625,5973.262704371101,20,20,98,5,0.5,0.5,3.460999999999993,11.913149999999774,1083.4277140168472,0.13842403006681867,0.21532626899282908,0.00022077560424804688
14,13136.330125608973,13549.105377400629,1798.607233944592,1822.5459354925924,39,39,0,0,0.975,0.975,2.5889999999999964,2.929897435897433,580.9801766597168,0.1356555494654823,0.2110197436129725,0.0003972053527832031
15,11539.77851521652,13454.431850288436,-1166.5567558046134,4024.2858857761958,37,34,0,0,0.925,0.85,2.5029999999999966,3.4868529411764597,642.4278316113641,0.13294243847617268,0.20679934874071307,0.0005090236663818359
